[kubernetes] 2022/02/02 12:21:59.567490 获取namespace coredns-558bd4d5db-cw8df指定POD信息成功, pod名称: coredns-558bd4d5db-cw8df IP: 10.1.0.143
[kubernetes] 2022/02/02 12:22:19.955714 获取namespace coredns-558bd4d5db-cw8df指定POD信息成功, pod名称: coredns-558bd4d5db-cw8df IP: 10.1.0.143
[kubernetes] 2022/02/02 12:22:19.955866 获取namespace coredns-558bd4d5db-fj7jd指定POD信息成功, pod名称: coredns-558bd4d5db-fj7jd IP: 10.1.0.146
[kubernetes] 2022/02/02 12:22:19.955880 获取namespace etcd-docker-desktop指定POD信息成功, pod名称: etcd-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:22:19.955890 获取namespace kube-apiserver-docker-desktop指定POD信息成功, pod名称: kube-apiserver-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:22:19.955901 获取namespace kube-controller-manager-docker-desktop指定POD信息成功, pod名称: kube-controller-manager-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:22:19.955911 获取namespace kube-proxy-7gwzb指定POD信息成功, pod名称: kube-proxy-7gwzb IP: 192.168.65.4
[kubernetes] 2022/02/02 12:22:19.955920 获取namespace kube-scheduler-docker-desktop指定POD信息成功, pod名称: kube-scheduler-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:22:19.955929 获取namespace snapshot-controller-0指定POD信息成功, pod名称: snapshot-controller-0 IP: 10.1.0.145
[kubernetes] 2022/02/02 12:22:19.955938 获取namespace storage-provisioner指定POD信息成功, pod名称: storage-provisioner IP: 10.1.0.140
[kubernetes] 2022/02/02 12:22:19.955948 获取namespace vpnkit-controller指定POD信息成功, pod名称: vpnkit-controller IP: 10.1.0.144
[kubernetes] 2022/02/02 12:23:06.660542 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-cw8df IP: 10.1.0.143
[kubernetes] 2022/02/02 12:23:06.660686 获取namespace kube-system指定POD信息成功, pod名称: coredns-558bd4d5db-fj7jd IP: 10.1.0.146
[kubernetes] 2022/02/02 12:23:06.660700 获取namespace kube-system指定POD信息成功, pod名称: etcd-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:23:06.660710 获取namespace kube-system指定POD信息成功, pod名称: kube-apiserver-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:23:06.660725 获取namespace kube-system指定POD信息成功, pod名称: kube-controller-manager-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:23:06.660736 获取namespace kube-system指定POD信息成功, pod名称: kube-proxy-7gwzb IP: 192.168.65.4
[kubernetes] 2022/02/02 12:23:06.660746 获取namespace kube-system指定POD信息成功, pod名称: kube-scheduler-docker-desktop IP: 192.168.65.4
[kubernetes] 2022/02/02 12:23:06.660755 获取namespace kube-system指定POD信息成功, pod名称: snapshot-controller-0 IP: 10.1.0.145
[kubernetes] 2022/02/02 12:23:06.660764 获取namespace kube-system指定POD信息成功, pod名称: storage-provisioner IP: 10.1.0.140
